setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
25-03-25_19-37-06anomaly_detection_UCRA_057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.987437965260546,0.0,0.0,0.0,0.987437965260546,0.0,0.0,0.0
25-03-25_19-37-12anomaly_detection_UCRA_058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9879564606741573,0.0,0.0,0.0,0.9879564606741573,0.0,0.0,0.0
25-03-25_19-37-12anomaly_detection_UCRA_059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9784444444444444,0.0,0.0,0.0,0.9784444444444444,0.0,0.0,0.0
25-03-25_19-37-12anomaly_detection_UCRA_060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9786279069767442,0.011058451816745656,0.023333333333333334,0.015005359056806002,0.9854418604651163,0.32397408207343414,1.0,0.4893964110929853
25-03-25_19-37-26anomaly_detection_UCRA_061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9712697628458498,0.020442930153321975,0.02,0.020219039595619208,0.9857954545454546,0.5106382978723404,1.0,0.676056338028169
25-03-25_19-37-27anomaly_detection_UCRA_062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9826956904133685,0.0,0.0,0.0,0.9826956904133685,0.0,0.0,0.0
25-03-25_19-37-47anomaly_detection_UCRA_066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9753184713375797,0.0,0.0,0.0,0.9753184713375797,0.0,0.0,0.0
25-03-25_19-37-48anomaly_detection_UCRA_065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9755714285714285,0.006993006993006993,0.03333333333333333,0.011560693641618497,0.9797142857142858,0.1744186046511628,1.0,0.297029702970297
25-03-25_19-37-37anomaly_detection_UCRA_063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.9717897977132806,0.0,0.0,0.0,0.9717897977132806,0.0,0.0,0.0
25-03-25_19-37-51anomaly_detection_UCRA_068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558.txt_TimeBert_UCRA_ftM_sl40_ll48_pl0_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_test_0,0.978110599078341,0.0,0.0,0.0,0.978110599078341,0.0,0.0,0.0
